"Method","Quantile Bias","Pinball","RMSE","Time"
"ADAM-iETSX",0.010467332123412,1.41725968719303,0.0896227826515016,92.9348604679108
"ADAM-iETSX-Ceiling",0.010467332123412,1.41949001814882,NA,NA
"Benchmark-1",0.104787371793714,1.25449085240995,1.00426335113273,0.387444972991943
"Benchmark-2",0.0557392451262038,1.21742931715661,0.259280030835285,0.0947246551513672
"ETS",0.0194388989715668,1.4348617787322,0.0121246507348257,10.7175204753876
"GBM-2",0.0600152974265392,1.2616903460541,1.77708965171317,602.431749582291
"LinearRegression",NA,NA,NA,3.15435004234314
"NBI-2",0.054072488120404,1.206241003728,0.383027216971882,NA
"NOtr-1",0.00989665203172711,1.22258287899273,0.267595659935524,451.662047147751
"NOtr-2",0.0118521931330214,1.20856103376674,0.267595659935524,86.5895462036133
"Poisson-1",0.0372137002306659,1.20491971862371,0.00952625434455234,1.47633528709412
"Poisson-2",0.0373883558880036,1.18810896103974,0.00829322300342483,5.07685875892639
"Poisson-2-I",0.0523936858968568,1.22211434224077,0.377008108026826,NA
"Regression-Poisson",0.0929416212946158,1.29352404718693,0.84902582028386,67.1401641368866
"Ttr-2",0.0140221391102198,1.2101077279489,0.332414637262784,956.553284883499
"fasster",0.186218995765275,35.051011645493,127.750402298851,NA
"prophet",0.0193799153055051,1.44703720508167,0.295545977011494,20.6755020618439
"qreg-1",0.0643450801450082,1.34055676537685,NA,NA
"tbats",0.0855701754385965,1.53607970356927,0.485977011494253,273.055817604065
